X,Y,Point_ID,Height
513835.689,325690.543,HF_ROW1132,-1.073
513836.452,325688.698,HF_ROW1131,1.139
513835.766,325690.368,HF_ROW1130,-0.857
513836.409,325688.811,HF_ROW1129,1.009
513836.159,325689.422,HF_ROW1128,0.271
513836.754,325687.974,HF_ROW1127,1.989
513836.417,325688.767,HF_ROW1126,1.025
513835.982,325689.808,HF_ROW1125,-0.225
513836.147,325689.084,HF_ROW1124,0.699
513835.287,325689.738,HF_ROW1123,0.627
513835.758,325692.513,HF_ROW1122,-0.139
513835.675,325692.673,HF_ROW1121,-0.144
513835.577,325692.356,HF_ROW1120,-0.631
513835.172,325693.268,HF_ROW1119,-0.783
513835.368,325694.403,HF_ROW1118,-0.877
513835.326,325695.625,HF_ROW1117,-0.764
513835.465,325696.927,HF_ROW1116,-0.68
513835.122,325698.408,HF_ROW1115,-0.888
513835.159,325699.784,HF_ROW1114,-0.96
513835.347,325700.598,HF_ROW1113,-0.246
513835.136,325702.302,HF_ROW1112,-0.608
513834.613,325704.57,HF_ROW1111,-1.97
513835.493,325703.785,HF_ROW1110,0.86
513835.176,325705.633,HF_ROW1109,0.191
513834.709,325707.668,HF_ROW1108,-0.726
513834.66,325708.976,HF_ROW1107,-0.771
513834.629,325710.281,HF_ROW1106,-0.799
513834.339,325711.652,HF_ROW1105,-0.839
513834.016,325713.239,HF_ROW1104,-1.075
513834.153,325714.177,HF_ROW1103,-0.665
513833.944,325715.506,HF_ROW1102,-0.901
513833.595,325717.696,HF_ROW1101,-1.806
513833.993,325717.741,HF_ROW1100,-0.015
513833.604,325719.481,HF_ROW1099,-0.888
513833.393,325720.52,HF_ROW1098,-0.721
513833.148,325721.983,HF_ROW1097,-1.204
513833.375,325722.579,HF_ROW1096,-0.668
513833.137,325724.018,HF_ROW1095,-0.703
513833.059,325725.432,HF_ROW1094,-0.696
513832.904,325726.823,HF_ROW1093,-0.887
513832.787,325728.131,HF_ROW1092,-0.958
513833.373,325727.317,HF_ROW1091,1.509
513833.241,325728.616,HF_ROW1090,1.509
513832.726,325730.397,HF_ROW1089,1.027
513832.035,325733.685,HF_ROW1088,-1.367
513832.043,325734.409,HF_ROW1087,-1.047
513831.938,325735.818,HF_ROW1086,-1
513831.342,325737.441,HF_ROW1085,-1.559
513831.317,325738.759,HF_ROW1084,-1.598
513830.982,325740.154,HF_ROW1083,-1.666
513830.634,325742.0,HF_ROW1082,-2.244
513830.554,325743.44,HF_ROW1081,-2.304
513830.304,325744.851,HF_ROW1080,-2.325
513830.176,325746.013,HF_ROW1079,-2.396
513829.977,325747.346,HF_ROW1078,-2.468
513829.838,325748.84,HF_ROW1077,-2.537
513829.692,325750.239,HF_ROW1076,-2.57
513829.45,325751.526,HF_ROW1075,-2.599
513829.168,325752.851,HF_ROW1074,-2.699
513829.135,325754.103,HF_ROW1073,-2.814
513828.835,325755.334,HF_ROW1072,-2.902
513828.668,325756.925,HF_ROW1071,-2.953
513828.638,325758.15,HF_ROW1070,-2.812
513828.472,325759.479,HF_ROW1069,-2.753
513828.88,325759.673,HF_ROW1068,-1.508
513828.31,325762.224,HF_ROW1067,-3.009
513828.458,325762.849,HF_ROW1066,-1.995
513828.724,325763.285,HF_ROW1065,-0.91
513828.616,325764.695,HF_ROW1064,-0.911
513828.238,325765.816,HF_ROW1063,-0.774
513828.361,325767.107,HF_ROW1062,-0.48
513828.337,325767.897,HF_ROW1061,0.056
513827.802,325769.707,HF_ROW1060,-0.568
513827.899,325770.892,HF_ROW1059,-0.457
513827.608,325772.306,HF_ROW1058,-0.751
513827.299,325773.947,HF_ROW1057,-1.239
513826.641,325776.474,HF_ROW1056,-2.479
513827.551,325775.952,HF_ROW1055,-0.016
513827.14,325777.951,HF_ROW1054,-0.775
513826.881,325779.418,HF_ROW1053,-1.045
513826.736,325780.339,HF_ROW1052,-0.75
513826.802,325781.354,HF_ROW1051,-0.566
513826.673,325782.661,HF_ROW1050,-0.585
513826.213,325782.76,HF_ROW1049,-1
513825.936,325783.498,HF_ROW1048,-1.332
513827.646,325783.833,HF_ROW1047,-1.223
513827.511,325782.131,HF_ROW1046,-1.507
513827.513,325781.095,HF_ROW1045,-1.483
513827.722,325779.776,HF_ROW1044,-1.485
513827.911,325778.463,HF_ROW1043,-1.489
513828.014,325777.276,HF_ROW1042,-1.516
513828.139,325775.906,HF_ROW1041,-1.513
513828.242,325774.58,HF_ROW1040,-1.535
513828.615,325773.184,HF_ROW1039,-1.515
513828.736,325771.897,HF_ROW1038,-1.492
513828.856,325770.688,HF_ROW1037,-1.483
513828.93,325769.508,HF_ROW1036,-1.506
513829.067,325768.245,HF_ROW1035,-1.504
513828.959,325766.76,HF_ROW1034,-1.532
513829.37,325765.538,HF_ROW1033,-1.475
513829.366,325764.192,HF_ROW1032,-1.469
513829.594,325762.965,HF_ROW1031,-1.473
513829.799,325761.667,HF_ROW1030,-1.522
513830.098,325760.602,HF_ROW1029,-1.484
513829.961,325759.102,HF_ROW1028,-1.603
513830.324,325757.799,HF_ROW1027,-1.864
513830.448,325756.538,HF_ROW1026,-1.873
513830.428,325755.229,HF_ROW1025,-1.886
513830.681,325753.869,HF_ROW1024,-1.886
513830.802,325752.577,HF_ROW1023,-1.896
513830.916,325751.288,HF_ROW1022,-1.907
513830.975,325750.036,HF_ROW1021,-1.877
513831.217,325748.75,HF_ROW1020,-1.9
513831.293,325747.69,HF_ROW1019,-1.955
513831.593,325746.513,HF_ROW1018,-1.927
513831.581,325745.459,HF_ROW1017,-1.971
513831.767,325744.44,HF_ROW1016,-1.967
513831.899,325743.273,HF_ROW1015,-1.951
513831.977,325741.884,HF_ROW1014,-1.936
513832.27,325740.791,HF_ROW1013,-1.953
513832.377,325739.629,HF_ROW1012,-1.987
513832.621,325738.396,HF_ROW1011,-2.008
513832.608,325737.108,HF_ROW1010,-1.992
513832.838,325736.194,HF_ROW1009,-2.012
513833.175,325734.958,HF_ROW1008,-1.971
513833.191,325733.397,HF_ROW1007,-1.951
513833.32,325732.295,HF_ROW1006,-1.935
513833.365,325731.242,HF_ROW1005,-1.964
513833.545,325729.788,HF_ROW1004,-1.911
513833.66,325728.585,HF_ROW1003,-1.941
513833.824,325727.319,HF_ROW1002,-1.907
513834.144,325726.288,HF_ROW1001,-1.914
513834.103,325724.936,HF_ROW1000,-1.908
513834.149,325723.69,HF_ROW999,-1.928
513834.351,325722.517,HF_ROW998,-1.943
513834.46,325720.914,HF_ROW997,-1.924
513834.517,325719.759,HF_ROW996,-1.903
513834.719,325718.46,HF_ROW995,-1.897
513834.853,325717.214,HF_ROW994,-1.938
513835.051,325715.882,HF_ROW993,-1.917
513835.215,325714.582,HF_ROW992,-1.873
513835.39,325713.237,HF_ROW991,-1.813
513835.539,325711.966,HF_ROW990,-1.801
513835.617,325710.62,HF_ROW989,-1.786
513835.7,325709.337,HF_ROW988,-1.766
513835.885,325708.011,HF_ROW987,-1.737
513835.89,325706.62,HF_ROW986,-1.696
513836.051,325705.342,HF_ROW985,-1.639
513836.102,325703.988,HF_ROW984,-1.599
513836.124,325702.669,HF_ROW983,-1.542
513836.337,325701.416,HF_ROW982,-1.492
513836.229,325700.081,HF_ROW981,-1.462
513836.449,325698.66,HF_ROW980,-1.381
513836.484,325697.13,HF_ROW979,-1.236
513836.556,325695.91,HF_ROW978,-1.162
513836.374,325694.592,HF_ROW977,-1.081
513836.734,325693.315,HF_ROW976,-0.925
513836.594,325692.031,HF_ROW975,-0.806
513836.556,325690.779,HF_ROW974,-0.645
513836.73,325690.002,HF_ROW973,-0.428
513836.309,325689.295,HF_ROW972,0.279
513837.491,325690.918,HF_ROW971,-0.589
513839.099,325692.345,HF_ROW970,-1.758
513838.851,325692.52,HF_ROW969,-1.171
513837.608,325691.841,HF_ROW968,-0.457
513836.826,325692.161,HF_ROW967,-0.85
513836.622,325693.828,HF_ROW966,-1.389
513836.784,325694.725,HF_ROW965,-0.839
513836.795,325695.833,HF_ROW964,-0.859
513836.319,325696.942,HF_ROW963,-0.706
513836.69,325698.421,HF_ROW962,-0.794
513836.688,325699.704,HF_ROW961,-0.685
513836.603,325700.967,HF_ROW960,-0.703
513836.396,325702.413,HF_ROW959,-0.807
513836.439,325703.824,HF_ROW958,-0.948
513836.199,325705.126,HF_ROW957,-1.072
513836.154,325706.272,HF_ROW956,-0.893
513836.252,325707.79,HF_ROW955,-1.067
513835.811,325709.492,HF_ROW954,-1.529
513835.855,325710.222,HF_ROW953,-0.918
513835.602,325711.446,HF_ROW952,-0.76
513835.638,325712.67,HF_ROW951,-0.735
513835.557,325713.953,HF_ROW950,-0.685
513835.823,325715.453,HF_ROW949,-0.721
513835.641,325716.607,HF_ROW948,-0.606
513835.406,325717.544,HF_ROW947,-0.384
513835.063,325719.662,HF_ROW946,-1.356
513835.184,325720.292,HF_ROW945,-0.413
513835.071,325721.18,HF_ROW944,0.07
