X,Y,Point_ID,Height
506185.982,330451.358,LAU_R_1074,61.481
506185.971,330451.354,LAU_R_1073,61.478
506185.966,330451.37,LAU_R_1072,61.463
506185.963,330451.382,LAU_R_1071,61.457
506185.971,330451.37,LAU_R_1070,61.47
506185.962,330451.385,LAU_R_1069,61.425
506185.953,330451.41,LAU_R_1068,61.371
506185.958,330451.408,LAU_R_1067,61.407
506185.967,330451.407,LAU_R_1066,61.497
506186.001,330451.393,LAU_R_1065,61.528
506186.0,330451.419,LAU_R_1064,61.476
506185.968,330451.382,LAU_R_1063,61.493
506185.977,330451.397,LAU_R_1062,61.456
506185.975,330451.336,LAU_R_1061,61.408
506185.988,330451.359,LAU_R_1060,61.424
506186.01,330451.399,LAU_R_1059,61.433
506186.037,330451.415,LAU_R_1058,61.445
506186.173,330451.603,LAU_R_1057,61.429
506187.098,330451.915,LAU_R_1056,61.42
506188.483,330452.389,LAU_R_1055,61.422
506189.773,330452.837,LAU_R_1054,61.391
506190.972,330453.2,LAU_R_1053,61.388
506192.198,330453.607,LAU_R_1052,61.369
506193.46,330454.029,LAU_R_1051,61.358
506194.728,330454.44,LAU_R_1050,61.329
506195.997,330454.838,LAU_R_1049,61.314
506197.343,330455.281,LAU_R_1048,61.304
506198.612,330455.69,LAU_R_1047,61.285
506199.962,330456.143,LAU_R_1046,61.279
506201.257,330456.606,LAU_R_1045,61.254
506202.587,330456.993,LAU_R_1044,61.23
506203.951,330457.46,LAU_R_1043,61.205
506205.212,330457.881,LAU_R_1042,61.171
506206.585,330458.335,LAU_R_1041,61.15
506207.912,330458.85,LAU_R_1040,61.159
506209.17,330459.269,LAU_R_1039,61.124
506210.53,330459.686,LAU_R_1038,61.114
506211.851,330460.127,LAU_R_1037,61.117
506213.231,330460.61,LAU_R_1036,61.094
506214.571,330461.091,LAU_R_1035,61.06
506215.918,330461.602,LAU_R_1034,61.046
506217.285,330461.992,LAU_R_1033,61.02
506218.652,330462.489,LAU_R_1032,60.989
506219.968,330462.931,LAU_R_1031,60.966
506221.24,330463.386,LAU_R_1030,60.95
506222.591,330463.863,LAU_R_1029,60.92
506223.838,330464.281,LAU_R_1028,60.9
506225.166,330464.718,LAU_R_1027,60.84
506226.488,330465.205,LAU_R_1026,60.82
506227.881,330465.621,LAU_R_1025,60.776
506229.234,330466.089,LAU_R_1024,60.742
506230.539,330466.531,LAU_R_1023,60.707
506231.849,330466.979,LAU_R_1022,60.712
506233.14,330467.427,LAU_R_1021,60.701
506234.47,330467.832,LAU_R_1020,60.666
506235.783,330468.281,LAU_R_1019,60.657
506237.056,330468.699,LAU_R_1018,60.629
506238.394,330469.137,LAU_R_1017,60.585
506239.785,330469.561,LAU_R_1016,60.572
506241.116,330469.979,LAU_R_1015,60.582
506242.468,330470.405,LAU_R_1014,60.575
506243.774,330470.839,LAU_R_1013,60.588
506245.104,330471.28,LAU_R_1012,60.582
506246.459,330471.728,LAU_R_1011,60.582
506247.794,330472.135,LAU_R_1010,60.533
506249.098,330472.577,LAU_R_1009,60.54
506250.448,330473.001,LAU_R_1008,60.527
506251.825,330473.433,LAU_R_1007,60.528
506253.193,330473.886,LAU_R_1006,60.564
506254.5,330474.304,LAU_R_1005,60.544
506255.864,330474.712,LAU_R_1004,60.535
506257.159,330475.149,LAU_R_1003,60.533
506258.431,330475.56,LAU_R_1002,60.532
506259.694,330475.962,LAU_R_1001,60.515
506261.024,330476.372,LAU_R_1000,60.476
506262.337,330476.806,LAU_R_999,60.504
506263.594,330477.215,LAU_R_998,60.502
506264.886,330477.605,LAU_R_997,60.467
506266.146,330478.054,LAU_R_996,60.435
506267.379,330478.392,LAU_R_995,60.469
506268.597,330478.805,LAU_R_994,60.419
506269.839,330479.177,LAU_R_993,60.41
506271.027,330479.493,LAU_R_992,60.381
506272.072,330479.818,LAU_R_991,60.378
506272.993,330480.113,LAU_R_990,60.387
506273.831,330480.375,LAU_R_989,60.386
506274.255,330480.524,LAU_R_988,60.384
506274.258,330480.556,LAU_R_987,60.367
506274.259,330480.546,LAU_R_986,60.361
506274.223,330480.631,LAU_R_985,60.446
506274.198,330481.016,LAU_R_984,60.417
506274.298,330481.161,LAU_R_983,60.504
506274.323,330481.545,LAU_R_982,60.347
506274.313,330481.554,LAU_R_981,60.343
506274.315,330481.58,LAU_R_980,60.323
506274.308,330481.575,LAU_R_979,60.361
506274.454,330481.716,LAU_R_978,60.897
506274.272,330481.583,LAU_R_977,60.28
506274.267,330481.622,LAU_R_976,60.369
506274.141,330481.669,LAU_R_975,60.347
506273.851,330481.668,LAU_R_974,60.342
506272.797,330481.324,LAU_R_973,60.356
